pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj49,,,Signing Off,5/26/06,photo,,,49,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj49/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj49/full/full/0/default.jpg,/img/derivatives/iiif/obj49/manifest.json
obj5,Ousmane Sow,online,La riposte de Piz'i (Chief Gall),1999,composite,,http://www.ousmanesow.com,5,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj5/full/full/0/default.jpg,/img/derivatives/iiif/obj5/manifest.json
obj50,,,Cherry Valley Massacre Monument,5/26/06,photo,,,50,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj50/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj50/full/full/0/default.jpg,/img/derivatives/iiif/obj50/manifest.json
obj51,,,Gen. John Sullivan,5/26/06,photo,,,51,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj51/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj51/full/full/0/default.jpg,/img/derivatives/iiif/obj51/manifest.json
obj52,,,Forever Set in Stone,5/26/06,photo,,,52,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj52/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj52/full/full/0/default.jpg,/img/derivatives/iiif/obj52/manifest.json
obj53,,,Gen. James Clinton,5/26/06,photo,,,53,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj53/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj53/full/full/0/default.jpg,/img/derivatives/iiif/obj53/manifest.json
obj54,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,54,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj54/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj54/full/full/0/default.jpg,/img/derivatives/iiif/obj54/manifest.json
obj55,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,55,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj55/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj55/full/full/0/default.jpg,/img/derivatives/iiif/obj55/manifest.json
obj56,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,56,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj56/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj56/full/full/0/default.jpg,/img/derivatives/iiif/obj56/manifest.json
obj57,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,57,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj57/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj57/full/full/0/default.jpg,/img/derivatives/iiif/obj57/manifest.json
obj58,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,58,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj58/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj58/full/full/0/default.jpg,/img/derivatives/iiif/obj58/manifest.json
obj59,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,59,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj59/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj59/full/full/0/default.jpg,/img/derivatives/iiif/obj59/manifest.json
